song_idx,artist,title,start_word,baseline,global_midi,aligned_midi
0,the byrds,turn turn turn,love,"love no the same a sign
we used a man
i see all you can bloom of my
world the morning
and i can tell me
when there's a song
you just a little hot stuff
and the night and they go
but i need a new
so long for the way all the rain
don't like a friend that i don't let","love i have you
i've never
i love to get
the way
i think
you're gonna make you
but you're no
and i am you and i just like
they have to me
and the wind up
and i am
and it's not the time after
i will you
so you
i wanna make you
i wanna go on this day
oh","love love is a new of our
but you love this day to be just
want for
so
you want to go
and then you can't stop and
so long before
i never had a little hot like a
man
i'm already this love your mind
you're always don't come
you see the man
and we can
so to your side
so don't"
0,the byrds,turn turn turn,night,"night after
the heat too long long it
i'm not you can't see
it's the rain
and if
so long
you
that i don't you
you're
the day i'm so young
i do is it to make a song
and the love you don't you
don't don't don't do you see
you're never get me for you said that
that i know what","night with you
she's gonna do i do
don't get down in the only you can
your eyes
you're so fine you have
it's got this
what you've a new
the one
i see
i'm gonna get to make my name
so
i feel
'cause i think you
i feel me i will save my dreams
and i know what","night
so many
i can't you
when i can i don't you know a
new
and we can say to see my love
come
what you
i love i wanna tell me baby doll
you're not you do
the old you
well the fire
but they you feel you want to tell
you you want you can do don't like
a good to have a new town"
0,the byrds,turn turn turn,baby,"baby
the way you know that was the day
and it all i feel the day that
we can't see
and it
the love you want to love a little
you're the end to see
that your life
it's a game
and i love you come on come to
dance tonight
if i'll be
it now i'm in my heart
you
the man","baby to do
and i want it is all that's
i've got out
what i am
it's only one
and i think to see it
i say the one i feel you don't
have
you
i see
i'm
you make a beautiful
i don't have it
i have flown
i want to you
you're gone
and if i need some you need you","baby
and he could the way the heat
you're goin'
and when you got this love you can't
you make the things to me in love
to your eyes
the way
and we can be
i know you're gonna feel my soul brother
and i need you come in me out
of my own you think i think
you
and i know you can't stop and i've
been in"
1,babyface,when can i see you again,love,"love in my name
what is so hard to the day a
face my life
and he was the night
i don't come on your heart yeah
you're in the only one
i want me
i just can't find in my heart will
that she didn't so many
and i want you i want to say
now you're no diggity
but
now the only yesterday","love will be so far
but we can you can love you got
to your love you
i can
all over is a new
if i see
now
now where a little a big
we can't make you want to a chance
your way you
the world i would your hand
but it's been there
but we were the time
to me
and then you","love
and i'm sure you can't
you're the world
oh the heat now i'll never
my world
when the love the end
i'll love to be mine
the way
the man
we
and he flies and the the world
i don't come on fire is you
when i think
to the love the things i don't
you can't be
if i'd
i"
1,babyface,when can i see you again,night,"night
i've got of all that i can't let
her
i'm the love to see
oh
i do i see my love
now you
if you do you can't find
you know the good
oh oh yeah
it's just a little girl boy i can't
have never
and you and it all you see i
don't you know i know
you're all over the sun
you're","night fever oh oh
oh i say
and we don't know how you can't take
the sun and
the time
you can be love
i can't have
if i want you
but if it
and the rain
you
you don't even i do that it is
a chance
if i just all the wind
we can fly away
and i","night
i feel
to your life
'cause i've been there i'm the same
and i can take you love in the
night fever is to the same
i don't you
i'm all
oh oh it's a new
i know the way to be
you
you're my heart
when we can't never know i need
it's only one more the love this time"
1,babyface,when can i see you again,baby,"baby i'm gonna make it i am to
find me
i've tried come i can't see in the
best friend
it's not always just
and he knows why i don't i just
a little boy
that you got to a day time
when they say a song
it's a
'cause i'm falling
so much it's gonna do can't you make
me
and i just what
now that i","baby
i know you don't see a friend you
can't be love you know i would make
it like the world
i'm not have known the sun and the
sky to be at the rain for her
i do you know to see you
you and i'll be the rain and i
can it
if i'm sorry
so you don't have to know how
the night","baby you're a sign to me
the world
to the only just the end for a
little hot
but you're a fool my friend to the
best of the fire behind to love you
love you say
and a new
i'm gonna see
you need i feel
but i will be a little time to
my heart
when she bop
i'm not know you can"
2,al wilson,show and tell,love,"love and i think a heartache with me
it's my life is a new and
what
it's the only more that your superman
i can't get the way your face
it's
you make you i can't you and you
i don't know you i will be
you
i'm in my time
we don't do you want and it i
have
you i know and i can see","love you and it's a day
i am
and they you
you know what you make a big
we can see the man
i know
so far for my eyes
and you know if you know
and we do a little bit so
and all of our life
and all my love my life the best
that
if it
i don't","love for a good times
oh yeah
it's all my way a girl
and a star
and he belongs
you're gonna be there
it's you think it all the wind for
you you need a time
'cause you feel like the man
i'm a sign me
you come on the love love
it's a man can tell me so we
have of my heart you
but she"
2,al wilson,show and tell,night,"night
that you're so fine
what
and the way all a dream to be
but
you're you
i see a sign
i'm the rain
so fine and when you were good
i'm waiting
what you can
i'm all you
i'm not so you are the sun
what that was of my way the end
right
and you and you feel","night
to me
the end
you got in a name is the man
that she can you can you and you
can tell to go away
you can it is you do you
and my way a song
i'm waiting in the world
i just to keep to the world my
heart the one little that i can't be
with this was the only you know","night
and now it's no no no matter my
heart
'cause you think you know where i know
you say
i'm waiting
oh whey oh the things we can't go
the way you think
my love
and now to know what that i see
your side
and it's like
now
the way you like a song with you
can be in love me
oh my baby with"
2,al wilson,show and tell,baby,"baby the heat
you know you're no midnight to know
what can it
and you
you want to the sun from of the
way to love can a day the end
you do me and the night
don't don't you
i know how it it's the the night
i don't like the best be there was
so lonely
it's gone and that we to me yeah
i","baby
you
i'm gonna make me
i'm not your heart
you like a little time
that i can't stop so many
we can
to keep
i see you can you
so i can't you and i would know
and they the man
you
so much my heart don't be so hard
to my
and if you
now
i can't see i","baby i know the time
when it all the heat
you feel so bad
when you can you know why
now it's not all
i know
but don't do
and when i don't do a man don't
think it don't see you don't need your
eyes of love you want you
my life
and
and we are on your body
i am
it's"
3,celine dion,because you loved me,love,"love will see
that i feel love
it's no diggity
the man and it
i'm gonna get up
i have been
i can't have to you said goodbye
oh oh my heart
the night
and that's that
and you see what a face
and they go the morning the only one
i can i could be
and if i can the road and my","love you to take away
when
that
no time
and the truth you
and you
i have you
when a hand of you do
when i do
i want to make my love in love
oh
and you don't want to find this world
baby
and i'm
it's in the night the world
so young for you have i just so
i do
i love","love the the only love this world
you
well
'cause i can make me
now all alone
you can do a child
i've tried her lonely love to do anything
it
and a thousand with all you can't make
you need
when i have a fool the time
that you do you don't you love you
oh i'm a fool so you see
the the good"
